datetime	open	high	low	close	volume
30.12.2004 00:00	30.13	30.14	30.13	30.13	1000000
31.12.2004 00:00	30.13	30.14	30.13	30.13	1000000
03.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
04.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
05.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
06.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
07.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
10.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
11.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
12.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
13.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
14.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
17.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
18.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
19.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
20.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
21.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
24.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
25.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
26.01.2005 00:00	30.13	30.14	30.13	30.13	1000000
27.01.2005 00:00	30.69	30.79	30.69	30.74	273000
28.01.2005 00:00	30.69	30.79	30.69	30.74	273000
31.01.2005 00:00	30.69	30.79	30.69	30.74	273000
01.02.2005 00:00	30.7	30.75	30.7	30.73	10000
02.02.2005 00:00	30.89	31.0	30.89	30.94	35000
03.02.2005 00:00	31.2	31.2	31.2	31.2	5000
04.02.2005 00:00	31.25	33.5	31.25	31.74	25000
07.02.2005 00:00	33.5	33.6	33.5	33.53	20000
08.02.2005 00:00	33.5	33.6	33.5	33.53	20000
09.02.2005 00:00	33.5	33.6	33.5	33.53	20000
10.02.2005 00:00	33.5	33.6	33.5	33.53	20000
11.02.2005 00:00	34.0	34.0	34.0	34.0	5000
14.02.2005 00:00	34.0	34.0	34.0	34.0	5000
15.02.2005 00:00	35.5	35.5	35.5	35.5	10000
16.02.2005 00:00	35.5	35.5	35.5	35.5	4000
17.02.2005 00:00	35.25	35.25	35.21	35.24	45000
18.02.2005 00:00	35.25	35.25	35.21	35.24	45000
21.02.2005 00:00	35.0	35.0	35.0	35.0	2000
22.02.2005 00:00	35.0	35.0	34.9	34.95	19000
23.02.2005 00:00	35.0	35.0	34.9	34.95	19000
24.02.2005 00:00	35.0	35.0	34.9	34.95	19000
25.02.2005 00:00	35.0	35.0	34.9	34.95	19000
28.02.2005 00:00	35.0	35.0	34.5	34.77	64000
01.03.2005 00:00	35.0	35.0	34.5	34.77	64000
02.03.2005 00:00	35.0	35.0	34.5	34.77	64000
03.03.2005 00:00	35.0	35.0	34.5	34.77	64000
04.03.2005 00:00	35.0	35.0	34.5	34.77	64000
07.03.2005 00:00	35.0	35.0	34.5	34.77	64000
08.03.2005 00:00	35.0	35.0	34.5	34.77	64000
09.03.2005 00:00	35.0	35.0	34.5	34.77	64000
10.03.2005 00:00	35.72	35.72	35.2	35.2	57000
11.03.2005 00:00	35.5	35.5	35.5	35.5	7000
14.03.2005 00:00	35.65	35.65	35.5	35.65	41000
15.03.2005 00:00	35.65	35.65	35.5	35.65	41000
16.03.2005 00:00	35.65	35.65	35.5	35.65	41000
17.03.2005 00:00	35.65	35.65	35.5	35.65	41000
18.03.2005 00:00	35.65	35.65	35.5	35.65	41000
21.03.2005 00:00	35.65	35.65	35.5	35.65	41000
22.03.2005 00:00	35.65	35.65	35.5	35.65	41000
23.03.2005 00:00	37.0	37.0	36.1	36.1	4000
24.03.2005 00:00	37.0	37.0	36.1	36.1	4000
25.03.2005 00:00	37.0	37.0	36.1	36.1	4000
28.03.2005 00:00	37.0	37.0	36.1	36.1	4000
29.03.2005 00:00	36.5	36.5	36.5	36.5	20000
30.03.2005 00:00	38.5	38.5	38.5	38.5	2000
31.03.2005 00:00	35.0	35.0	35.0	35.0	1000
01.04.2005 00:00	37.0	37.0	37.0	37.0	1000
04.04.2005 00:00	37.0	37.0	37.0	37.0	1000
05.04.2005 00:00	36.0	36.0	36.0	36.0	5000
06.04.2005 00:00	36.0	36.0	36.0	36.0	5000
07.04.2005 00:00	39.7	39.7	39.7	39.7	1000
08.04.2005 00:00	38.3	38.3	38.3	38.3	11000
11.04.2005 00:00	37.5	37.5	37.05	37.31	7000
12.04.2005 00:00	37.5	37.5	37.05	37.31	7000
13.04.2005 00:00	37.12	37.12	37.1	37.1	10000
14.04.2005 00:00	37.02	39.5	35.5	37.13	17000
15.04.2005 00:00	37.02	39.5	35.5	37.13	17000
18.04.2005 00:00	37.02	39.5	35.5	37.13	17000
